"","OP1","OP2","OP3","OP4","OP5","OP6","OP7","OP8","OP9","OP10","OP11","OP12","OP13","OP14","OP15"
"(Intercept)",4.87901280825489,4.68677678667492,-3.78572846925331,3.75357545233949,-4.72428663890414,3.52620352288333,-3.47176795292578,5.85012918052166,-0.723804621063767,9.04578974807494,9.25556731254548,5.1166295635792,14.2295451628264,-7.18631073226867,-4.89785861562764
"Price",8.13726321068242e-06,1.60135307625108e-05,0.000393104302612721,9.93778283993123e-05,0.000411319100093198,3.91338396380892e-05,0.000366530246359915,-4.75288539071936e-05,0.000212723466987943,-0.000155766907385736,-0.000186148956491076,-0.000112594189128279,-0.000449848600454582,0.000514100384563021,0.000338893778141231
"BrandSaturn",0.534147797260234,1.99563562306517,0.980667891914313,2.46940594870235,1.19230837616963,2.53490677419359,-0.759046238022071,3.12273921108709,2.69635562585812,1.29359999968852,1.38038202963774,2.02053974836696,2.22994106897125,1.26312411673865,1.10850242352185
"BrandToyota",2.04897382589483,1.03631694243391,-0.716576667939847,1.48285191898864,0.866890180701317,2.80020152862211,-0.375415152033107,1.62568031159585,2.74736104749892,1.50062705147974,2.0932521958266,0.91906876333612,2.55219391877952,0.929157177832701,2.05864758045603
"BrandVolkswagen",0.874169896017478,0.0203034116713983,0.223652362780765,0.716807423922666,-0.377762252725216,1.76106768898402,-1.07527873172636,2.17320916550305,1.70130424717764,1.65639395886547,2.44606781898435,1.5316629524644,3.66870918590077,0.0817234599363463,1.7197538023148
"Horsepower250",0.661780384936799,2.55233274441672,1.15586048166223,0.181208338519287,0.270997074798033,-0.735568309286735,1.54195417611873,0.942679590905203,1.31928360779841,1.62822109330316,2.06423945462679,2.31364540073346,2.81326506867067,0.432157546376048,2.04725591811875
"Horsepower280",-3.11460499780081,-1.09347356409883,-0.582117527474303,-2.33848489359463,-3.36739895567993,-2.20421385343153,-3.42058159073415,-1.59486958588126,-2.60806368865126,-1.64893046938077,-1.52039172969519,0.422779223499628,1.72573678062179,-2.99059403312789,-0.915366674241726
"ColorGreen",-0.253070138267999,0.0716394797270229,-0.29400706725888,-1.60804655716097,1.12958544778536,-1.56176966477697,2.27131952318909,-1.44947118853218,-0.706237121369731,-0.433694059357238,0.983017826224135,0.469973364426122,-1.27563847571786,1.14202803620299,0.410840586421293
"ColorRed",0.406582567488662,0.163944857885852,-1.42950605890196,-1.36896921250563,-0.602992767526066,-0.417098577061012,0.147944435309092,-0.647043150200731,-2.31632803637171,-0.786586666067929,-0.342289901414761,-0.183926405194268,-2.25310894368918,1.16088364226905,-2.86412132521422
"SunroofYes",-2.71888418450667,-3.06538025613914,-4.33373324115207,-3.90398240959343,-3.71988663625654,-2.39277666286096,-3.40747742828816,-2.05265402475163,-2.9821130369473,-2.74162831440801,-3.71928119381569,-2.22228069713225,-2.15363468576499,-4.40383218459336,-2.54319620916459
