"Customer_no","Married","Household_size","Income","Age","Zip_code","Work","Education","Target_Segment"
1,0,3,35,40,21236,2,1,"3"
2,0,4,35,61,21286,7,1,"3"
3,1,1,35,52,20815,11,1,"3"
4,1,2,35,66,21030,9,1,"3"
5,1,1,35,58,20158,2,2,"3"
6,0,2,35,36,21227,5,1,"3"
7,1,1,35,54,8085,7,1,"3"
8,1,3,60,66,22003,4,1,"3"
9,1,1,35,61,20186,1,2,"3"
10,1,4,35,49,20171,7,1,"3"
11,1,2,40,64,21701,4,3,"3"
12,0,2,80,37,20132,2,1,"3"
13,0,4,35,46,21228,7,3,"3"
14,1,1,35,78,22401,10,3,"3"
15,0,2,35,44,7728,5,3,"3"
16,1,4,150,53,22554,2,2,"2"
17,0,2,80,49,21207,8,3,"3"
18,0,2,105,77,8055,2,3,"1"
19,1,3,65,44,21228,5,3,"3"
20,0,5,130,48,21401,9,3,"2"
21,1,2,120,51,20910,10,1,"2"
22,1,1,115,77,22039,4,2,"1"
23,0,1,35,50,22302,6,1,"3"
24,1,3,100,47,22911,9,2,"1"
25,1,1,35,82,20008,4,3,"3"
26,0,1,35,68,8757,7,3,"3"
27,1,1,35,57,22901,8,3,"3"
28,1,3,150,49,21204,10,2,"2"
29,0,5,90,54,19446,8,1,"1"
30,1,2,175,70,22308,6,3,"2"
31,1,1,80,44,8043,7,3,"3"
32,0,1,55,45,8360,4,3,"3"
33,1,1,175,48,22205,5,3,"2"
34,1,1,65,70,20180,8,2,"3"
35,1,4,70,43,8108,2,2,"3"
36,1,3,35,40,23233,9,3,"3"
37,0,3,35,63,21012,7,1,"3"
38,0,3,35,57,21701,6,1,"3"
39,1,1,35,63,20016,9,2,"3"
40,1,4,175,58,22101,10,1,"2"
41,1,4,175,83,22015,5,3,"2"
42,0,2,90,56,8742,9,2,"1"
43,0,2,35,61,21702,8,2,"3"
44,1,5,35,63,8361,10,1,"3"
45,0,1,35,41,8037,2,1,"3"
46,0,1,80,46,21093,8,3,"3"
47,1,3,60,55,24060,4,2,"3"
48,0,1,35,42,8318,10,2,"3"
49,1,5,35,34,20111,3,1,"3"
50,0,5,35,79,22101,11,1,"3"
51,1,4,175,69,8028,9,3,"2"
52,1,3,135,65,23185,8,3,"2"
53,1,2,35,65,19010,4,1,"3"
