"CustomerID","Recency","Frequency","Monetary","R_Seq","F_Seq","M_Seq","RFM_Score_Seq","Segment_Seq","R_Ind","F_Ind","M_Ind","RFM_Score_Ind","Segment_Ind"
"12347",15,2,39.74,5,2,5,525,"Potential Customers",5,4,4,544,"Champions"
"12354",118,1,15.9,2,1,2,212,"Lost Customers",2,1,2,212,"Lost Customers"
"12359",192,1,17.7,1,1,3,113,"Lost Customers",1,1,2,112,"Lost Customers"
"12362",111,2,41.88,2,4,5,245,"Potential Customers",2,4,4,244,"Potential Customers"
"12370",160,1,15,1,1,2,112,"Lost Customers",1,1,2,112,"Lost Customers"
"12373",198,1,8.5,1,1,1,111,"Lost Customers",1,1,1,111,"Lost Customers"
"12377",202,1,22.5,1,1,3,113,"Lost Customers",1,1,3,113,"Lost Customers"
"12378",15,1,54.9,5,1,5,515,"Potential Customers",5,1,4,514,"Potential Customers"
"12380",71,1,17.7,3,1,3,313,"Potential Customers",3,1,2,312,"Potential Customers"
"12381",5,1,27.6,5,1,4,514,"Potential Customers",5,1,3,513,"Potential Customers"
"12383",124,1,19.9,2,1,3,213,"Lost Customers",2,1,3,213,"Lost Customers"
"12388",161,3,47.4,1,5,5,155,"Potential Customers",1,5,4,154,"Potential Customers"
"12397",21,1,25.08,5,1,3,513,"Potential Customers",5,1,3,513,"Potential Customers"
"12399",99,1,8.4,2,1,1,211,"Lost Customers",2,1,1,211,"Lost Customers"
"12405",34,1,17.7,4,1,3,413,"Potential Customers",4,1,2,412,"Potential Customers"
"12406",69,1,91.5,3,1,5,315,"Potential Customers",3,1,5,315,"Potential Customers"
"12407",42,1,48.36,4,1,5,415,"Potential Customers",4,1,4,414,"Potential Customers"
"12415",29,4,1073.54,4,5,5,455,"Champions",4,5,5,455,"Champions"
"12423",132,1,5.04,2,1,1,211,"Lost Customers",2,1,1,211,"Lost Customers"
"12426",80,1,41.1,3,1,4,314,"Potential Customers",3,1,4,314,"Potential Customers"
"12428",128,3,164.1,2,5,5,255,"Potential Customers",2,5,5,255,"Potential Customers"
"12429",58,1,72.6,4,1,5,415,"Potential Customers",4,1,5,415,"Potential Customers"
"12431",24,3,64.5,5,4,4,544,"Champions",5,5,5,555,"Champions"
"12437",111,1,30,2,1,4,214,"Lost Customers",2,1,3,213,"Lost Customers"
"12444",7,2,86.15,5,2,5,525,"Potential Customers",5,4,5,545,"Champions"
"12449",15,2,103.82,5,3,5,535,"Loyal Customers",5,4,5,545,"Champions"
"12451",104,2,108.71,2,4,5,245,"Potential Customers",2,4,5,245,"Potential Customers"
"12453",20,1,24.9,5,1,3,513,"Potential Customers",5,1,3,513,"Potential Customers"
"12455",183,1,25.5,1,1,4,114,"Lost Customers",1,1,3,113,"Lost Customers"
"12456",17,2,87.78,5,3,4,534,"Loyal Customers",5,4,5,545,"Champions"
"12462",190,1,22.5,1,1,3,113,"Lost Customers",1,1,3,113,"Lost Customers"
"12468",203,1,19.8,1,1,3,113,"Lost Customers",1,1,3,113,"Lost Customers"
"12471",152,2,37.8,1,5,4,154,"Potential Customers",1,4,4,144,"Potential Customers"
"12472",65,2,36.9,3,3,4,334,"Loyal Customers",3,4,4,344,"Loyal Customers"
"12474",92,3,50,3,5,3,353,"Loyal Customers",3,5,4,354,"Loyal Customers"
"12476",27,2,50.64,4,3,4,434,"Loyal Customers",4,4,4,444,"Champions"
"12477",125,2,149.65,2,4,5,245,"Potential Customers",2,4,5,245,"Potential Customers"
"12480",153,1,35.7,1,1,5,115,"Lost Customers",1,1,4,114,"Lost Customers"
"12481",65,2,49.8,3,3,5,335,"Loyal Customers",3,4,4,344,"Loyal Customers"
"12483",69,1,36,3,1,4,314,"Potential Customers",3,1,4,314,"Potential Customers"
"12490",216,1,13.2,1,1,2,112,"Lost Customers",1,1,2,112,"Lost Customers"
"12493",51,1,41.46,4,1,5,415,"Potential Customers",4,1,4,414,"Potential Customers"
"12500",167,1,152.64,1,1,5,115,"Lost Customers",1,1,5,115,"Lost Customers"
"12502",13,2,126.15,5,3,5,535,"Loyal Customers",5,4,5,545,"Champions"
"12510",212,1,30,1,1,4,114,"Lost Customers",1,1,3,113,"Lost Customers"
"12516",66,1,62.4,3,1,5,315,"Potential Customers",3,1,5,315,"Potential Customers"
"12517",12,2,35.23,5,3,2,532,"Loyal Customers",5,4,4,544,"Champions"
"12520",28,2,73.2,4,3,5,435,"Loyal Customers",4,4,5,445,"Champions"
"12521",28,1,15.9,4,1,3,413,"Potential Customers",4,1,2,412,"Potential Customers"
